TR:late_TE:CellLine ,TR:KAT2A ,TR:SEMA4A ,TR:TERT ,TR:MYB ,TR:EGR1 ,TR:MAX ,TR:NCOR1 ,TR:JAK2 ,TR:RBPJ ,TR:C21orf33 ,DA:CD4 ,DA:GATA3 ,DA:FGF4 ,DA:SULT2A1 ,DA:TBX21 ,DA:PDGFRA ,DA:RNF128 ,DA:ATF3 ,DA:TGFB1 ,DA:HEY1 ,DA:ZEB1 ,DA:MYL1 ,DA:EOMES ,DA:HEY2 ,DA:VEGFA ,DV:CD4 ,DV:GATA3           ,DV:FGF4            ,DV:SULT2A1         ,DV:TBX21 ,DV:PDGFRA          ,DV:RNF128          ,DV:ATF3            ,DV:TGFB1           ,DV:HEY1 ,DV:ZEB1 ,DV:MYL1 ,DV:EOMES           ,DV:HEY2            ,DV:VEGFA
                  1 ,       1 ,        0 ,      0 ,     1 ,      1 ,     1 ,       1 ,      1 ,      1 ,          0 ,     0 ,       0 ,      0 ,         0 ,       0 ,        0 ,        0 ,      0 ,       0 ,      0 ,      0 ,      0 ,       0 ,      0 ,       0 ,   0.0 ,0.0                ,0.0                ,0.0                ,     0.0 ,0.0                ,0.0                ,0.0                ,0.0                ,    0.0 ,    0.0 ,    0.0 ,0.0                ,0.0                ,0.0
                  1 ,       1 ,        0 ,      1 ,     1 ,      1 ,     1 ,       1 ,      1 ,      1 ,          0 ,     0 ,       0 ,      0 ,         0 ,       0 ,        0 ,        0 ,      0 ,       0 ,      0 ,      0 ,      0 ,       0 ,      0 ,       0 ,   0.0 ,0.0                ,0.0                ,0.0                ,     0.0 ,0.0                ,0.0                ,0.0                ,0.0                ,    0.0 ,    0.0 ,    0.0 ,0.0                ,0.0                ,0.0
                  1 ,       1 ,        0 ,      0 ,     1 ,      1 ,     1 ,       1 ,      0 ,      1 ,          0 ,     0 ,       0 ,      0 ,         0 ,       0 ,        0 ,        0 ,      0 ,       0 ,      0 ,      0 ,      0 ,       0 ,      0 ,       0 ,   0.0 ,0.0                ,0.0                ,0.0                ,     0.0 ,0.0                ,0.0                ,0.0                ,0.0                ,    0.0 ,    0.0 ,    0.0 ,0.0                ,0.0                ,0.0
                  1 ,       1 ,        1 ,      0 ,     1 ,      0 ,     1 ,       1 ,      1 ,      1 ,          0 ,     0 ,       0 ,      0 ,         0 ,       0 ,        0 ,        0 ,      0 ,       0 ,      0 ,      0 ,      0 ,       0 ,      0 ,       0 ,   0.0 ,0.0                ,0.0                ,0.0                ,     0.0 ,0.0                ,0.0                ,0.0                ,0.0                ,    0.0 ,    0.0 ,    0.0 ,0.0                ,0.0                ,0.0
                  1 ,       1 ,        0 ,      1 ,     1 ,      1 ,     1 ,       1 ,      0 ,      1 ,          1 ,     0 ,       0 ,      0 ,         0 ,       0 ,        0 ,        0 ,      0 ,       0 ,      0 ,      0 ,      0 ,       0 ,      0 ,       0 ,   0.0 ,0.0                ,0.0                ,0.0                ,     0.0 ,0.0                ,0.0                ,0.0                ,0.0                ,    0.0 ,    0.0 ,    0.0 ,0.0                ,0.0                ,0.0
                  1 ,       1 ,        0 ,      0 ,     1 ,      1 ,     1 ,       1 ,      0 ,      1 ,          1 ,     0 ,       0 ,      0 ,         0 ,       0 ,        0 ,        0 ,      0 ,       0 ,      0 ,      0 ,      0 ,       0 ,      0 ,       0 ,   0.0 ,0.0                ,0.0                ,0.0                ,     0.0 ,0.0                ,0.0                ,0.0                ,0.0                ,    0.0 ,    0.0 ,    0.0 ,0.0                ,0.0                ,0.0
                  1 ,       0 ,        0 ,      0 ,     1 ,      1 ,     1 ,       1 ,      1 ,      1 ,          0 ,     0 ,       0 ,      0 ,         0 ,       0 ,        0 ,        0 ,      0 ,       0 ,      0 ,      0 ,      0 ,       0 ,      0 ,       0 ,   0.0 ,0.0                ,0.0                ,0.0                ,     0.0 ,0.0                ,0.0                ,0.0                ,0.0                ,    0.0 ,    0.0 ,    0.0 ,0.0                ,0.0                ,0.0
                  1 ,       1 ,        0 ,      0 ,     1 ,      1 ,     1 ,       1 ,      1 ,      1 ,          1 ,     0 ,       0 ,      0 ,         0 ,       0 ,        0 ,        0 ,      0 ,       0 ,      0 ,      0 ,      0 ,       0 ,      0 ,       0 ,   0.0 ,0.0                ,0.0                ,0.0                ,     0.0 ,0.0                ,0.0                ,0.0                ,0.0                ,    0.0 ,    0.0 ,    0.0 ,0.0                ,0.0                ,0.0
                  1 ,       1 ,        1 ,      0 ,     1 ,      1 ,     1 ,       1 ,      1 ,      1 ,          0 ,     0 ,       0 ,      0 ,         0 ,       0 ,        0 ,        0 ,      0 ,       0 ,      0 ,      0 ,      0 ,       0 ,      0 ,       0 ,   0.0 ,0.0                ,0.0                ,0.0                ,     0.0 ,0.0                ,0.0                ,0.0                ,0.0                ,    0.0 ,    0.0 ,    0.0 ,0.0                ,0.0                ,0.0
                  1 ,       1 ,        1 ,      0 ,     1 ,      1 ,     1 ,       1 ,      0 ,      1 ,          0 ,     0 ,       0 ,      0 ,         0 ,       0 ,        0 ,        0 ,      0 ,       0 ,      0 ,      0 ,      0 ,       0 ,      0 ,       0 ,   0.0 ,0.0                ,0.0                ,0.0                ,     0.0 ,0.0                ,0.0                ,0.0                ,0.0                ,    0.0 ,    0.0 ,    0.0 ,0.0                ,0.0                ,0.0
                  1 ,       1 ,        0 ,      0 ,     1 ,      0 ,     1 ,       1 ,      1 ,      1 ,          1 ,     0 ,       0 ,      0 ,         0 ,       0 ,        0 ,        0 ,      0 ,       0 ,      0 ,      0 ,      0 ,       0 ,      0 ,       0 ,   0.0 ,0.0                ,0.0                ,0.0                ,     0.0 ,0.0                ,0.0                ,0.0                ,0.0                ,    0.0 ,    0.0 ,    0.0 ,0.0                ,0.0                ,0.0
                  1 ,       1 ,        1 ,      0 ,     1 ,      1 ,     1 ,       1 ,      1 ,      1 ,          1 ,     0 ,       0 ,      0 ,         0 ,       0 ,        0 ,        0 ,      0 ,       0 ,      0 ,      0 ,      0 ,       0 ,      0 ,       0 ,   0.0 ,0.0                ,0.0                ,0.0                ,     0.0 ,0.0                ,0.0                ,0.0                ,0.0                ,    0.0 ,    0.0 ,    0.0 ,0.0                ,0.0                ,0.0
                  1 ,       1 ,        0 ,      0 ,     1 ,      0 ,     1 ,       1 ,      1 ,      1 ,          0 ,     0 ,       0 ,      0 ,         0 ,       0 ,        0 ,        0 ,      0 ,       0 ,      0 ,      0 ,      0 ,       0 ,      0 ,       0 ,   0.0 ,0.0                ,0.0                ,0.0                ,     0.0 ,0.0                ,0.0                ,0.0                ,0.0                ,    0.0 ,    0.0 ,    0.0 ,0.0                ,0.0                ,0.0
                  1 ,       1 ,        0 ,      0 ,     1 ,      1 ,     1 ,       1 ,      1 ,      1 ,          0 ,    10 ,      10 ,     10 ,        10 ,      10 ,       10 ,       10 ,     10 ,      10 ,     10 ,     10 ,     10 ,      10 ,     10 ,      10 ,   0.0 ,0.0365930599369085 ,0.000105152471083  ,0.0                ,     0.0 ,0.0007360672975814 ,0.0                ,0.0019978969505783 ,0.0                ,    0.0 ,    0.0 ,    0.0 ,0.0                ,0.0                ,0.0
                  1 ,       1 ,        0 ,      1 ,     1 ,      1 ,     1 ,       1 ,      1 ,      1 ,          0 ,    10 ,      10 ,     10 ,        10 ,      10 ,       10 ,       10 ,     10 ,      10 ,     10 ,     10 ,     10 ,      10 ,     10 ,      10 ,   0.0 ,0.1147213459516298 ,0.0                ,0.201472134595163  ,     0.0 ,0.0                ,0.0169295478443743 ,0.0291272344900105 ,0.0085173501577287 ,    0.0 ,    0.0 ,    0.0 ,0.0                ,0.0                ,0.0929547844374342
