TR:medium_TE:CellLine,TR:KAT2A,TR:SEMA4A,TR:TERT,TR:MYB,TR:EGR1,TR:MAX,TR:NCOR1,TR:JAK2,TR:RBPJ,TR:C21orf33,DA:CD4,DA:GATA3,DA:FGF4,DA:SULT2A1,DA:TBX21,DA:PDGFRA,DA:RNF128,DA:ATF3,DA:TGFB1,DA:HEY1,DA:ZEB1,DA:MYL1,DA:EOMES,DA:HEY2,DA:VEGFA,DV:CD4,DV:GATA3,DV:FGF4,DV:SULT2A1,DV:TBX21,DV:PDGFRA,DV:RNF128,DV:ATF3,DV:TGFB1,DV:HEY1,DV:ZEB1,DV:MYL1,DV:EOMES,DV:HEY2,DV:VEGFA
1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,1,1,1,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.1595162986330179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024185068349106
1,1,0,1,1,1,1,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.3667718191377497,0.0,0.0,0.0,0.0,0.0,0.13732912723449,0.0,0.0,0.0,0.0,0.0,0.0,0.0407991587802313
1,1,0,0,1,1,1,1,0,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067297581493165,0.0188222923238696
1,1,1,0,1,0,1,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.1634069400630914,0.0,0.0,0.0,0.0002103049421661,0.0,0.0154574132492113,0.0,0.0,0.0,0.0,0.0,0.0,0.0014721345951629
1,1,0,1,1,1,1,1,0,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0002103049421661,0.2640378548895899,0.0,0.0,0.0,0.000105152471083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034700315457413
1,1,0,0,1,1,1,1,0,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.2506834910620399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112513144058885
1,0,0,0,1,1,1,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.156782334384858,0.0,0.0,0.0,0.000105152471083,0.0,0.0307045215562565,0.0043112513144058,0.0,0.0,0.0,0.0,0.0,0.0219768664563617
1,1,0,0,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.1337539432176656,0.0,0.0,0.0,0.0,0.0,0.0076761303890641,0.0,0.0,0.0,0.0,0.0,0.0,0.007570977917981
1,1,1,0,1,1,1,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.0684542586750788,0.0,0.0,0.0,0.0022082018927444,0.0,0.006098843322818,0.0,0.0,0.0,0.0,0.0,0.0,0.0056782334384858
1,1,1,0,1,1,1,1,0,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.083596214511041,0.0,0.0,0.0,0.0,0.0,0.0113564668769716,0.000105152471083,0.0,0.0,0.0,0.0,0.0,0.01198738170347
1,1,0,0,1,0,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.0238696109358569,0.001577287066246,0.0,0.0,0.0,0.0,0.0,0.0,0.0002103049421661,0.0,0.0,0.0,0.0,0.0014721345951629
1,1,1,0,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.0177707676130389,0.0,0.0,0.0,0.0004206098843322,0.0,0.0016824395373291,0.0,0.0,0.0,0.0,0.0,0.0,0.0016824395373291
1,1,0,0,1,0,1,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.0,0.0353312302839116,0.0,0.0,0.0,0.0041009463722397,0.0,0.0003154574132492,0.0,0.0,0.0,0.0,0.0,0.0,0.0046267087276551
